目录,模型名称,下载地址
"clip_vision","sigclip_vision_patch14_384.safetensors","https://huggingface.co/Comfy-Org/sigclip_vision_384/resolve/main/sigclip_vision_patch14_384.safetensors"
"controlnet","Qwen-Image-InstantX-ControlNet-Inpainting.safetensors","https://huggingface.co/Comfy-Org/Qwen-Image-InstantX-ControlNets/resolve/main/split_files/controlnet/Qwen-Image-InstantX-ControlNet-Inpainting.safetensors"
"controlnet","control_v11f1p_sd15_depth_fp16.safetensors","https://huggingface.co/comfyanonymous/ControlNet-v1-1_fp16_safetensors/resolve/main/control_v11f1p_sd15_depth_fp16.safetensors"
"controlnet","control_v11p_sd15_scribble_fp16.safetensors","https://huggingface.co/comfyanonymous/ControlNet-v1-1_fp16_safetensors/resolve/main/control_v11p_sd15_scribble_fp16.safetensors?download=true"
"controlnet","qwen_image_canny_diffsynth_controlnet.safetensors","https://huggingface.co/Comfy-Org/Qwen-Image-DiffSynth-ControlNets/resolve/main/split_files/model_patches/qwen_image_canny_diffsynth_controlnet.safetensors"
"controlnet","sd3.5_large_controlnet_blur.safetensors","https://huggingface.co/Comfy-Org/stable-diffusion-3.5-controlnets_ComfyUI_repackaged/resolve/main/split_files/controlnet/sd3.5_large_controlnet_blur.safetensors"
"controlnet","sd3.5_large_controlnet_canny.safetensors","https://huggingface.co/Comfy-Org/stable-diffusion-3.5-controlnets_ComfyUI_repackaged/resolve/main/split_files/controlnet/sd3.5_large_controlnet_canny.safetensors"
"controlnet","sd3.5_large_controlnet_depth.safetensors","https://huggingface.co/Comfy-Org/stable-diffusion-3.5-controlnets_ComfyUI_repackaged/resolve/main/split_files/controlnet/sd3.5_large_controlnet_depth.safetensors"
"loras","MoXinV1.safetensors","https://civitai.com/api/download/models/14856?type=Model&format=SafeTensor&size=full&fp=fp16"
"loras","Qwen-Image-Edit-2509-Lightning-4steps-V1.0-bf16.safetensors","https://huggingface.co/lightx2v/Qwen-Image-Lightning/resolve/main/Qwen-Image-Edit-2509/Qwen-Image-Edit-2509-Lightning-4steps-V1.0-bf16.safetensors"
"loras","Qwen-Image-Lightning-4steps-V1.0.safetensors","https://huggingface.co/lightx2v/Qwen-Image-Lightning/resolve/main/Qwen-Image-Lightning-4steps-V1.0.safetensors"
"loras","Qwen-Image-Lightning-8steps-V1.0.safetensors","https://huggingface.co/lightx2v/Qwen-Image-Lightning/resolve/main/Qwen-Image-Lightning-8steps-V1.0.safetensors"
"loras","Wan21_CausVid_14B_T2V_lora_rank32.safetensors","https://huggingface.co/Kijai/WanVideo_comfy/blob/main/Wan21_CausVid_14B_T2V_lora_rank32.safetensors"
"loras","Wan21_CausVid_bidirect2_T2V_1_3B_lora_rank32.safetensors","https://huggingface.co/Kijai/WanVideo_comfy/blob/main/Wan21_CausVid_bidirect2_T2V_1_3B_lora_rank32.safetensors"
"loras","WanAnimate_relight_lora_fp16.safetensors","https://huggingface.co/Kijai/WanVideo_comfy/resolve/main/LoRAs/Wan22_relight/WanAnimate_relight_lora_fp16.safetensors"
"loras","blindbox_v1_mix.safetensors","https://civitai.com/api/download/models/32988?type=Model&format=SafeTensor&size=full&fp=fp16"
"loras","flux1-depth-dev-lora.safetensors","https://huggingface.co/Comfy-Org/flux1-dev/resolve/main/split_files/loras/flux1-depth-dev-lora.safetensors"
"loras","flux2_berthe_morisot.safetensors","https://huggingface.co/ostris/flux2_berthe_morisot/resolve/main/flux2_berthe_morisot.safetensors"
"loras","lightx2v_I2V_14B_480p_cfg_step_distill_rank64_bf16.safetensors","https://huggingface.co/Kijai/WanVideo_comfy/resolve/main/Lightx2v/lightx2v_I2V_14B_480p_cfg_step_distill_rank64_bf16.safetensors"
"loras","lightx2v_T2V_14B_cfg_step_distill_v2_lora_rank64_bf16.safetensors","https://huggingface.co/Kijai/WanVideo_comfy/resolve/main/Lightx2v/lightx2v_T2V_14B_cfg_step_distill_v2_lora_rank64_bf16.safetensors"
"loras","pixel_art_style_z_image_turbo.safetensors","https://huggingface.co/tarn59/pixel_art_style_lora_z_image_turbo/resolve/main/pixel_art_style_z_image_turbo.safetensors"
"loras","qwen_image_union_diffsynth_lora.safetensors","https://huggingface.co/Comfy-Org/Qwen-Image-DiffSynth-ControlNets/resolve/main/split_files/loras/qwen_image_union_diffsynth_lora.safetensors"
"loras","wan2.2_i2v_lightx2v_4steps_lora_v1_high_noise.safetensors","https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged/resolve/main/split_files/loras/wan2.2_i2v_lightx2v_4steps_lora_v1_high_noise.safetensors"
"loras","wan2.2_i2v_lightx2v_4steps_lora_v1_low_noise.safetensors","https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged/resolve/main/split_files/loras/wan2.2_i2v_lightx2v_4steps_lora_v1_low_noise.safetensors"
"loras","wan2.2_t2v_lightx2v_4steps_lora_v1.1_high_noise.safetensors","https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged/resolve/main/split_files/loras/wan2.2_t2v_lightx2v_4steps_lora_v1.1_high_noise.safetensors"
"loras","wan2.2_t2v_lightx2v_4steps_lora_v1.1_low_noise.safetensors","https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged/resolve/main/split_files/loras/wan2.2_t2v_lightx2v_4steps_lora_v1.1_low_noise.safetensors"
"loras","wan_alpha_2.1_rgba_lora.safetensors","https://huggingface.co/Comfy-Org/Wan_2.1_ComfyUI_repackaged/resolve/main/split_files/loras/wan_alpha_2.1_rgba_lora.safetensors"
"sams","sam2_hiera_base_plus.safetensors","⚠️ 未提供"
